Vertex,Type,Supply_Chain_Numer,Description,Latitude,Longitude
S1,Supplier,1,S1_1,-45.7023048,-6.365744174
S2,Supplier,1,S2_1,39.68746351,10.58074568
S3,Supplier,2,S3_2,9.506771187,13.75515006
S4,Supplier,2,S4_2,2.749514121,-40.26849519
R1,Distribution Centre,1,R1_1,-46.92310574,44.39380148
R2,Distribution Centre,1,R2_1,-31.99113309,-12.30626819
R3,Distribution Centre,1,R3_1,-7.288079243,31.24625674
R4,Distribution Centre,2,R4_2,-18.13501133,14.48824414
R5,Distribution Centre,2,R5_2,-40.08066605,4.810246904
R6,Distribution Centre,2,R6_2,5.431529913,23.80537457
B1,Branch,1,B1_1,-4.54,39.83
B2,Branch,1,B2_1,-40.22,6.72
B3,Branch,1,B3_1,-9.58,-3.26
B4,Branch,1,B4_1,48.04,-32.25
B5,Branch,1,B5_1,17.55,-43.13
B6,Branch,2,B6_2,39.37742092,-31.0862737
B7,Branch,2,B7_2,26.33932613,12.03406395
B8,Branch,2,B8_2,24.50401347,25.23980804
B9,Branch,2,B9_2,2.604575428,-11.84226762
B10,Branch,2,B10_2,3.070309204,36.55197923
C1,Customer,1,C1_1,-24.59788856,33.59231867
C2,Customer,1,C2_1,27.11669597,-36.84402874
C3,Customer,1,C3_1,-32.91605974,23.02736033
C4,Customer,1,C4_1,13.49254724,16.40590375
C5,Customer,1,C5_1,-33.96770529,-22.51474343
C6,Customer,1,C6_1,-0.025496958,31.37464818
C7,Customer,1,C7_1,-1.790284964,19.44092116
C8,Customer,1,C8_1,7.3098099,-5.935465463
C9,Customer,1,C9_1,11.51211683,-6.075433163
C10,Customer,1,C10_1,-35.61508765,35.74445983
C11,Customer,2,C11_2,33.81702922,-37.72416608
C12,Customer,2,C12_2,29.87792397,-24.78551041
C13,Customer,2,C13_2,-37.84860728,-26.59694496
C14,Customer,2,C14_2,49.56260319,-48.31940649
C15,Customer,2,C15_2,-44.40431636,-44.48654723
C16,Customer,2,C16_2,-23.914377,-47.29563372
C17,Customer,2,C17_2,-12.60297857,38.98660435
C18,Customer,2,C18_2,-43.87912537,-43.56226782
C19,Customer,2,C19_2,-38.60867088,-12.79735172
C20,Customer,2,C20_2,40.78587469,47.94175692
